[   11.410474] new mount options do not match the existing superblock, will be ignored
[   11.436005] bpfilter: Loaded bpfilter_umh pid 1350
[   11.436356] Started bpfilter
[   22.430776] fbcon: Taking over console
[  218.903470] cmpe283_1: loading out-of-tree module taints kernel.
[  218.903473] cmpe283_1: module license 'unspecified' taints kernel.
[  218.903474] Disabling lock debugging due to kernel taint
[  218.903507] cmpe283_1: module verification failed: signature and/or required key missing - tainting kernel
[  218.903713] CMPE 283 Assignment 1 Module Start
[  218.903716] Pinbased Controls MSR: 0x3f00000016
[  218.903758]   IA-32e Mode Guest: Can set=Yes, Can clear=Yes
[  218.903759]   Entry to SMM: Can set=No, Can clear=Yes
[  218.903759]   Deactivate Dual Monitor Treatment: Can set=No, Can clear=Yes
[  218.903760]   Load IA32_PERF_GLOBAL_CTRL: Can set=No, Can clear=Yes
[  218.903761]   Load IA32_PAT: Can set=Yes, Can clear=Yes
[  218.903761]   Load IA32_EFER: Can set=Yes, Can clear=Yes
[  218.903762]   Load IA32_BNDCFGS: Can set=No, Can clear=Yes
[  218.903762]   Conceal VMX from PT: Can set=No, Can clear=Yes
[  218.903763]   Load IA32_RTIT_CTL: Can set=No, Can clear=Yes
[  218.903763]   Load CET State: Can set=No, Can clear=Yes
[  218.903764]   Load Guest IA32_LBR_CTL: Can set=No, Can clear=Yes
